age_calkaBP	SeaLev_shortPC1	SeaLev_longPC1	SeaLev_longPC1_err_sig
218	-29.26	-29.58	14.19
219	-36.81	-39.16	14.14
220	-49.33	-49.6	14.5
221	-61.75	-57.84	14.11
222	-67.03	-67.09	12.99
223	-73.68	-69.51	12.08
224	-72.15	-68.74	11.13
225	-74.35	-69.26	10.04
226	-70.68	-66.5	8.93
227	-66.88	-65.16	8.43
228	-65.45	-65.57	8.34
229	-65.06	-62.94	8.9
230	-59.11	-57.47	10.2
231	-51.45	-49.89	11.19
232	-41.76	-39.44	11.15
233	-31.59	-31.3	10.86
234	-26.47	-27.81	10.54
235	-21.38	-22.9	10.31
236	-15.03	-15.91	9.65
237	-9.44	-12.93	9.15
238	-14.82	-16.93	9.56
239	-21.09	-21.86	10.97
240	-26.31	-26.82	13.23
241	-35.14	-35.26	14.85
242	-44.9	-45.72	15.45
243	-53.72	-51.2	20.06
244	-58.16	-56.73	20.96
245	-54.47	-47.88	22.01
246	-73.1	-71.87	19.58
247	-80.67	-80.64	19.05
248	-86.71	-84.39	14.97
249	-88.3	-87.15	15.13
250	-91.78	-90.08	16.02
251	-94.31	-90.51	17.42
252	-94.5	-90.18	19.46
253	-95.65	-90.12	21.7
254	-91.97	-87.6	21.92
255	-86.9	-80.55	21.42
256	-90.3	-85.9	19.95
257	-93.53	-90.55	16.89
258	-93.71	-92.35	12.38
259	-89.89	-86.91	10.68
260	-81.06	-76.07	10.53
261	-78.3	-72.52	10.09
262	-77.68	-72.1	10.12
263	-77.5	-73.52	10.36
264	-85.38	-80.85	10.72
265	-84.54	-81.29	11.55
266	-82.09	-76.74	11.11
267	-82.77	-75.43	10.87
268	-93.08	-88.1	9.91
269	-97.2	-92.09	9.52
270	-98.21	-93.27	9.7
271	-89.95	-84.89	10.91
272	-80.22	-77.94	11.06
273	-76.12	-74.2	11.8
274	-74.38	-70.83	13.74
275	-67.56	-61.01	15.14
276	-61.85	-54.32	15.7
277	-56.75	-50.86	15.6
278	-53.52	-48.23	15.21
279	-50.13	-45.62	14.4
280	-46.06	-42.44	13.22
281	-39.89	-39.03	12.29
282	-37.94	-38.63	11.58
283	-36.69	-39.26	10.93
284	-35.06	-39.35	10.18
285	-35.22	-40.03	9.58
286	-36.57	-43	9.18
287	-37.85	-45.5	8.77
288	-42.69	-48.56	8.25
289	-51.85	-54.86	7.17
290	-56.69	-58.27	6.37
291	-58.53	-58.29	6.64
292	-56.55	-53.8	7.61
293	-54.88	-50.77	8.51
294	-53.23	-49.26	10.07
295	-52.4	-48.22	11.43
296	-48.95	-43.51	12.71
297	-48.35	-44.77	13.56
298	-47.6	-44.88	14.31
299	-45.33	-42.38	14.66
300	-42.88	-40.16	14.79
301	-39.59	-38.64	14.99
302	-38.01	-36.2	15
303	-33.06	-33	15.53
304	-35.35	-36.19	15.79
305	-39.42	-38.96	16.14
306	-35.78	-35.29	16.31
307	-30.55	-31.22	16.45
308	-31.07	-31.05	16.25
309	-27.9	-27.33	15.97
310	-24.1	-22.67	15.82
311	-22.22	-20.87	15.62
312	-21.88	-19.67	15.83
313	-18.42	-16.66	16.13
314	-12.39	-9.95	16.16
315	-12.12	-7.03	15.91
316	-9.85	-7.3	15.51
317	-10.45	-6.47	15.27
318	-10.88	-7.02	14.76
319	-11.31	-8.25	14.65
320	-8.44	-6.17	15.06
321	-6.92	-5.29	15.78
322	-2.51	-2.38	15.81
323	-0.71	-0.59	15.91
324	-2.6	-4.09	15.51
325	-7.77	-11.39	14.64
326	-7.75	-11.59	14.28
327	-3.06	-5.54	15.04
328	-0.61	-1.95	15.97
329	-1.75	-1.78	17.14
330	-6.91	-9.32	18.55
331	-16.42	-25.22	18.8
332	-34.02	-37.73	18.5
333	-36.93	-41.34	18.79
334	-48.06	-44.91	19.88
335	-58.42	-54.11	20.9
336	-74.42	-72.67	19.53
337	-85.7	-86.27	16.71
338	-91.22	-88.48	13.35
339	-93.28	-89.68	12.52
340	-96.85	-91.34	12.4
341	-103.88	-99.06	12.01
342	-108.11	-102.83	11.89
343	-108.58	-99.93	11.34
344	-108.8	-99.95	11.26
345	-109.04	-99.99	11.02
346	-105.84	-97.26	10.46
347	-103.3	-95.41	9.65
348	-102.66	-95.79	8.51
349	-101.03	-95.19	8.33
350	-97.04	-93.87	9.05
351	-89.97	-87.03	9.39
352	-85.13	-83.3	8.86
353	-84.01	-83.38	7.97
354	-86.49	-86.1	7.73
355	-91.12	-90.32	6.86
356	-94.94	-92.82	5.9
357	-92.98	-92.4	5.44
358	-91.88	-92.14	6.1
359	-88.63	-89.06	7.2
360	-84.77	-85.53	8.75
361	-78.88	-78.35	9.88
362	-71.15	-69.37	9.75
363	-66.07	-63.03	9.4
364	-66.4	-63.89	11.56
365	-65.1	-64.07	13.55
366	-57.26	-54.84	14.55
367	-50.45	-48.23	14.69
368	-49.22	-45.47	13.84
369	-48	-44.13	12.9
370	-49.3	-44.26	11.59
371	-49.22	-45.09	10.02
372	-46.86	-45.15	8.41
373	-48.47	-47.15	7.63
374	-47.49	-48.95	7.26
375	-50.2	-50.8	7.15
376	-48.25	-51.26	7.77
377	-50.22	-52.15	10.45
378	-49.56	-51.2	14.67
379	-37.79	-37.02	17.08
380	-26.52	-23.08	17.27
381	-24	-19.11	16.4
382	-28.9	-22.54	15.73
383	-27.84	-21.71	14.8
384	-27.28	-21.71	13.54
385	-25.07	-20.54	13.03
386	-22.2	-18.5	11.99
387	-19.07	-15.47	10.75
388	-21.65	-18.8	10.09
389	-26.23	-27.18	9.71
390	-28.4	-28.92	10.03
391	-23.4	-23.33	11.17
392	-17.91	-18.28	12.84
393	-9.74	-10.19	14
394	-6.53	-4.18	14.76
395	-4.22	-3.31	15
396	-3.16	-3.48	15.62
397	-1.02	-1.81	16.86
398	3.18	4.9	18.16
399	10.24	12.47	18.54
400	14.59	18.54	18.36
401	14.05	17.75	17.77
402	13.01	16.3	16.79
403	14.56	17.86	15.81
404	15.96	19.02	15.41
405	12.86	16.07	15.29
406	11.17	13.25	15.09
407	10.25	12.61	14.8
408	7.79	10.54	14.92
409	5.44	5.67	15.32
410	-3.39	-4.34	15.03
411	-7.72	-11.41	14.82
412	-11.95	-13.32	14.32
413	-12.45	-14.63	14.15
414	-17.47	-19.34	13.78
415	-25.15	-27.13	13.3
416	-31.74	-34.82	15.08
417	-35.59	-36.4	17.32
418	-46.88	-50.54	18.88
419	-51.43	-53.85	19.07
420	-58.11	-61.18	18.69
421	-63.52	-68.48	17.65
422	-66.31	-75.22	16.24
423	-77.44	-81.07	15.95
424	-78.65	-85.93	18.13
425	-95.55	-97.74	19.75
426	-109.94	-114.91	19.96
427	-116.49	-122.93	18.99
428	-118.26	-123.82	18.21
429	-120.44	-124.4	17.39
430	-119.42	-119.99	15.79
431	NaN	-119.41	14.67
432	NaN	-120.06	14.12
433	NaN	-121.15	13.75
434	NaN	-119.52	13.43
435	NaN	-115.07	13.44
436	NaN	-113.91	13.59
437	NaN	-113.26	13.88
438	NaN	-110.74	14.33
439	NaN	-105.38	14.5
440	NaN	-99.91	14.46
441	NaN	-98.54	14.31
442	NaN	-100.55	14.1
443	NaN	-101.78	13.66
444	NaN	-99.69	12.91
445	NaN	-96.28	11.88
446	NaN	-95.52	10.55
447	NaN	-95.02	9.39
448	NaN	-96.95	8.66
449	NaN	-98.28	8.65
450	NaN	-97.77	9.22
451	NaN	-97.82	10.04
452	NaN	-96.21	10.55
453	NaN	-94.59	10.62
454	NaN	-92.94	10.48
455	NaN	-90.9	10.35
456	NaN	-89.86	10.2
457	NaN	-88.33	9.96
458	NaN	-85.94	9.51
459	NaN	-81.84	9.04
460	NaN	-81.43	8.85
461	NaN	-79.68	8.89
462	NaN	-78.29	9.26
463	NaN	-75.46	10.02
464	NaN	-73.88	12
465	NaN	-74.83	13.88
466	NaN	-71.39	15.8
467	NaN	-62.89	16.6
468	NaN	-52	17.1
469	NaN	-51.21	17.12
470	NaN	-51.75	17.35
471	NaN	-49.63	17.46
472	NaN	-41.58	17.18
473	NaN	-36.84	16.45
474	NaN	-34.5	15.35
475	NaN	-32.09	14.63
476	NaN	-29.84	13.61
477	NaN	-27.61	12.41
478	NaN	-28.34	11.09
479	NaN	-31.41	9.69
480	NaN	-32.77	7.94
481	NaN	-32.41	6.45
482	NaN	-30.53	5.98
483	NaN	-28.2	6.29
484	NaN	-24.91	6.75
485	NaN	-21.12	7.02
486	NaN	-17.44	7.68
487	NaN	-17.62	8.78
488	NaN	-17.2	10.06
489	NaN	-18.07	11.25
490	NaN	-15.29	12.28
491	NaN	-12.74	13.15
492	NaN	-10.85	13.84
493	NaN	-12.44	14.77
494	NaN	-14.59	15.6
495	NaN	-17.71	16.32
496	NaN	-18.44	16.74
497	NaN	-15.39	16.94
498	NaN	-14.05	17.08
499	NaN	-17.99	17.16
500	NaN	-22.56	17.17
501	NaN	-23.33	16.97
502	NaN	-24.04	16.91
503	NaN	-27.37	16.94
504	NaN	-30.58	17.04
505	NaN	-33.44	17.12
506	NaN	-36.11	17.25
507	NaN	-42.61	17.86
508	NaN	-47.62	17.94
509	NaN	-55.32	17.38
510	NaN	-55.45	16.9
511	NaN	-53.4	16.62
512	NaN	-52.81	16.26
513	NaN	-53.28	15.78
514	NaN	-51.5	15.18
515	NaN	-50.33	14.4
516	NaN	-47.55	13.41
517	NaN	-44.78	12.68
518	NaN	-45.35	12.07
519	NaN	-46.68	11.8
520	NaN	-45.1	11.66
521	NaN	-44.99	11.73
522	NaN	-46.82	11.83
523	NaN	-49.7	11.84
524	NaN	-50.48	11.75
525	NaN	-49.96	11.64
526	NaN	-49.68	11.41
527	NaN	-48.46	11.09
528	NaN	-48.5	10.75
529	NaN	-50.66	10.42
530	NaN	-52.1	10.05
531	NaN	-53.67	9.63
532	NaN	-53.71	9.36
533	NaN	-53.01	9.38
534	NaN	-56.16	9.55
535	NaN	-61.14	10.17
536	NaN	-64.07	10.45
537	NaN	-67.39	11.01
538	NaN	-64.18	12.32
539	NaN	-59.91	13.34
540	NaN	-58.99	14.07
541	NaN	-55.16	14.86
542	NaN	-51.73	15.46
543	NaN	-53.72	15.58
544	NaN	-53.89	15.28
545	NaN	-53.73	14.52
546	NaN	-55.03	13.33
547	NaN	-57.35	12.1
548	NaN	-59.46	11.01
549	NaN	-62.11	10.18
550	NaN	-62.75	9.64
551	NaN	-60.01	9.24
552	NaN	-58.3	9.21
553	NaN	-59.76	9.27
554	NaN	-61.1	9.65
555	NaN	-58.37	10.29
556	NaN	-52.38	11.22
557	NaN	-46.51	11.64
558	NaN	-40.41	11.62
559	NaN	-37.88	11.51
560	NaN	-36.07	11.42
561	NaN	-35.39	11.34
562	NaN	-34.82	11.11
563	NaN	-33.39	10.8
564	NaN	-30.12	10.65
565	NaN	-26.73	10.89
566	NaN	-19.58	10.5
567	NaN	-13.9	10.21
568	NaN	-13.27	9.88
569	NaN	-11.65	9.95
570	NaN	-9.06	10.38
571	NaN	-8.18	11.52
572	NaN	-6.66	12.45
573	NaN	-8.42	13.12
574	NaN	-8.88	13.44
575	NaN	-12.1	12.95
576	NaN	-12.36	12.53
577	NaN	-11.71	12.99
578	NaN	-13.91	13.84
579	NaN	-23.45	14.43
580	NaN	-32.03	14.48
581	NaN	-38.35	13.45
582	NaN	-44.03	12.21
583	NaN	-50.08	11.77
584	NaN	-53.33	11.51
585	NaN	-54.4	11.56
586	NaN	-49.95	11.65
587	NaN	-47.15	12
588	NaN	-45.53	12.39
589	NaN	-39.1	12.82
590	NaN	-33.2	13.07
591	NaN	-30.1	12.8
592	NaN	-28.97	12.71
593	NaN	-30.38	12.59
594	NaN	-29.81	12.4
595	NaN	-26.35	12.24
596	NaN	-23.46	12.31
597	NaN	-24.04	13.01
598	NaN	-27.53	14.98
599	NaN	-33.05	16.15
600	NaN	-41.35	16.78
601	NaN	-41.23	16.95
602	NaN	-39.41	16.81
603	NaN	-37.95	16.28
604	NaN	-33.99	15.84
605	NaN	-24.09	15.68
606	NaN	-16.31	15.58
607	NaN	-14.29	16.12
608	NaN	-15.19	16.8
609	NaN	-17.77	17.28
610	NaN	-17.66	17.15
611	NaN	-18.6	16.77
612	NaN	-18.19	16.47
613	NaN	-12.57	15.51
614	NaN	-9.02	15.23
615	NaN	-11.31	15.61
616	NaN	-16.78	15.93
617	NaN	-29.38	15.95
618	NaN	-43.34	16.58
619	NaN	-65.34	15.37
620	NaN	-78.36	13.46
621	NaN	-86.36	12.08
622	NaN	-93	12.48
623	NaN	-100.28	13.93
624	NaN	-103.58	15.27
625	NaN	-105.54	16.51
626	NaN	-110.96	17.1
627	NaN	-114.62	17.5
628	NaN	-111.96	17.31
629	NaN	-109.41	17
630	NaN	-108.5	16.3
631	NaN	-105.76	15.43
632	NaN	-103.04	14.5
633	NaN	-102.54	13.89
634	NaN	-105.6	13.89
635	NaN	-109.52	13.46
636	NaN	-111.27	13.21
637	NaN	-105.13	13.06
638	NaN	-101.37	13.05
639	NaN	-99.09	12.66
640	NaN	-93.77	12.56
641	NaN	-92.11	12.31
642	NaN	-89.12	11.82
643	NaN	-85.33	11.21
644	NaN	-82.43	10.92
645	NaN	-82.73	11.36
646	NaN	-86.64	11.91
647	NaN	-88.13	12.12
648	NaN	-86.44	12
649	NaN	-80.26	11.49
650	NaN	-79.87	10.7
651	NaN	-82.42	10.02
652	NaN	-85.15	9.95
653	NaN	-84.29	9.68
654	NaN	-78.18	9.34
655	NaN	-77.24	9.44
656	NaN	-82.73	9.32
657	NaN	-85.16	9.56
658	NaN	-83.48	10.22
659	NaN	-78.4	10.39
660	NaN	-75.27	10.06
661	NaN	-77.61	9.81
662	NaN	-79.27	9.9
663	NaN	-80.2	9.8
664	NaN	-79.29	10.52
665	NaN	-75.05	11
666	NaN	-72.45	11.2
667	NaN	-69.86	11.13
668	NaN	-66.7	10.94
669	NaN	-62.58	10.29
670	NaN	-61.52	9.72
671	NaN	-61.93	9.59
672	NaN	-65.68	9.57
673	NaN	-67.22	9.74
674	NaN	-62.65	10.04
675	NaN	-56.98	10.72
676	NaN	-53.47	11.36
677	NaN	-50.13	11.92
678	NaN	-45.5	12.69
679	NaN	-42.18	13.85
680	NaN	-38.49	14.87
681	NaN	-34.08	15.65
682	NaN	-28.89	15.92
683	NaN	-24.49	15.71
684	NaN	-21.33	15.09
685	NaN	-17.8	14.34
686	NaN	-12.64	13.03
687	NaN	-9.14	11.55
688	NaN	-11.45	10.67
689	NaN	-13.04	10.51
690	NaN	-15.63	10.79
691	NaN	-15.7	11.37
692	NaN	-13.48	11.83
693	NaN	-12.46	12.18
694	NaN	-12.35	12.52
695	NaN	-10.64	12.74
696	NaN	-9.93	12.54
697	NaN	-11.83	12.35
698	NaN	-15.58	12.29
699	NaN	-19.13	12.33
700	NaN	-21.36	12.4
701	NaN	-23.27	12.41
702	NaN	-26.99	12.34
703	NaN	-30.02	11.87
704	NaN	-31.23	11.56
705	NaN	-31.93	11.63
706	NaN	-36.72	12.53
707	NaN	-48.33	12.46
708	NaN	-57.75	11.99
709	NaN	-56.95	11.61
710	NaN	-58.02	12.96
711	NaN	-64.8	14.19
712	NaN	-68.05	15.76
713	NaN	-71.56	16.02
714	NaN	-80.14	15.47
715	NaN	-82.33	14.27
716	NaN	-83.25	12.71
717	NaN	-82.13	11.03
718	NaN	-86.11	10.15
719	NaN	-90.18	9.81
720	NaN	-88.93	9.81
721	NaN	-82.33	10.29
722	NaN	-76.68	9.87
723	NaN	-70.14	8.63
724	NaN	-66.7	8.33
725	NaN	-65.99	9.44
726	NaN	-63.32	10.97
727	NaN	-52.01	11.39
728	NaN	-44.27	12.38
729	NaN	-43.98	14.11
730	NaN	-44.3	15.77
731	NaN	-43.81	14.96
732	NaN	-41.74	14.34
733	NaN	-40.02	14.07
734	NaN	-42.07	12.88
735	NaN	-49.78	10.91
736	NaN	-50.09	10.21
737	NaN	-48.25	9.49
738	NaN	-47.66	8
739	NaN	-52.7	7.47
740	NaN	-56.43	7.56
741	NaN	-58.79	7.9
742	NaN	-61.79	8.35
743	NaN	-64.82	8.95
744	NaN	-67.33	9.53
745	NaN	-69.88	10.21
746	NaN	-71.14	10.81
747	NaN	-73.88	11.09
748	NaN	-73.75	11.21
749	NaN	-74.38	11.27
750	NaN	-74.08	11.12
751	NaN	-68.3	10.7
752	NaN	-65.75	10.14
753	NaN	-65.13	9.74
754	NaN	-63.7	9.99
755	NaN	-61.85	9.74
756	NaN	-59.1	9.15
757	NaN	-58.67	8.65
758	NaN	-57.34	8.29
759	NaN	-53.97	7.98
760	NaN	-50.83	8.28
761	NaN	-49.19	9.39
762	NaN	-47.72	10.18
763	NaN	-41.61	10.55
764	NaN	-39.17	10.6
765	NaN	-39.26	10.2
766	NaN	-36.3	9.78
767	NaN	-32.18	9.25
768	NaN	-27.3	8.83
769	NaN	-23.7	8.72
770	NaN	-20.71	8.85
771	NaN	-16.21	9.36
772	NaN	-12.24	9.65
773	NaN	-8	9.32
774	NaN	-6.3	9.02
775	NaN	-8.56	9.14
776	NaN	-9.1	9.35
777	NaN	-12.76	9.52
778	NaN	-13.68	9.66
779	NaN	-14.49	9.66
780	NaN	-13.01	10.2
781	NaN	-15.3	10.96
782	NaN	-20.86	11.62
783	NaN	-23.36	11.87
784	NaN	-22.74	11.74
785	NaN	-26.25	11.63
786	NaN	-31.59	11.87
787	NaN	-41.56	12.46
788	NaN	-54.67	13.48
789	NaN	-67.49	13.35
790	NaN	-79.84	12.08
791	NaN	-86.47	10.82
792	NaN	-87.48	9.95
793	NaN	-86.61	10.48
794	NaN	-88.16	11.22
795	NaN	-93.19	11.18
796	NaN	-95.67	11.11
797	NaN	-93.05	10.78
798	NaN	-92.37	10.08
